timestamp,machine_id,running,cycles_in_30min,avg_power_kw,oil_temp_C,nozzle_temp_C,injection_pressure_bar,defect_rate,shift
2025-01-01 00:00:00,M01,True,26,28.25,52.1,220.9,71.9,0.0173,白班
2025-01-01 00:30:00,M01,False,0,2.1,34.2,34.2,0,0,晚班
2025-01-01 01:00:00,M01,True,26,23.73,54.4,254.5,144.1,0.0207,夜班
2025-01-01 01:30:00,M01,True,52,29.84,42.6,259.6,78.3,0.0014,晚班
2025-01-01 02:00:00,M01,True,59,9.76,60.0,207.8,153.0,0.0143,白班
2025-01-01 02:30:00,M01,True,35,12.41,55.2,190.8,159.7,0.0111,白班
2025-01-01 03:00:00,M01,True,31,16.81,60.0,238.5,85.8,0.0024,晚班
2025-01-01 03:30:00,M01,False,0,0.58,36.8,28.1,0,0,夜班
2025-01-01 04:00:00,M01,True,39,25.69,59.7,239.8,144.0,0.0053,白班
2025-01-01 04:30:00,M01,True,17,29.17,54.7,258.1,173.5,0.0245,晚班
2025-01-01 05:00:00,M01,True,10,41.53,63.2,218.2,120.8,0.0228,晚班
2025-01-01 05:30:00,M01,True,43,7.94,57.7,196.9,150.6,0.0151,晚班
2025-01-01 06:00:00,M01,True,41,32.95,42.1,184.2,166.5,0.0046,夜班
2025-01-01 06:30:00,M01,True,40,37.67,49.7,271.3,130.7,0.0108,晚班
2025-01-01 07:00:00,M01,True,17,31.06,64.2,232.1,100.2,0.0221,晚班
2025-01-01 07:30:00,M01,True,15,36.8,45.8,244.6,61.3,0.0143,白班
2025-01-01 08:00:00,M01,False,0,1.72,34.8,34.5,0,0,夜班
2025-01-01 08:30:00,M01,True,44,35.82,60.4,211.6,135.4,0.0056,夜班
2025-01-01 09:00:00,M01,True,17,23.3,53.1,271.2,72.6,0.0114,晚班
2025-01-01 09:30:00,M01,True,42,19.41,56.6,269.3,121.1,0.0211,白班
2025-01-01 10:00:00,M01,True,44,9.67,48.5,190.9,112.2,0.012,晚班
2025-01-01 10:30:00,M01,True,46,32.1,51.0,242.9,151.0,0.007,晚班
2025-01-01 11:00:00,M01,True,42,32.96,56.3,254.9,120.0,0.0214,晚班
2025-01-01 11:30:00,M01,True,24,20.7,43.6,277.2,60.1,0.0067,白班
2025-01-01 12:00:00,M01,True,46,14.1,63.7,208.4,173.5,0.0127,白班
2025-01-01 12:30:00,M01,False,0,1.84,33.1,30.5,0,0,夜班
2025-01-01 13:00:00,M01,True,47,14.74,46.6,240.6,66.9,0.0108,白班
2025-01-01 13:30:00,M01,True,51,14.03,43.4,271.2,141.8,0.0234,白班
2025-01-01 14:00:00,M01,True,19,33.46,51.9,227.2,175.8,0.007,晚班
2025-01-01 14:30:00,M01,True,12,28.85,48.0,200.5,123.5,0.0201,晚班
